SKU/EAN,Descripcion original (con tamaño),Nombre cargado en Marybe (sin tamaño),Marca
3349668630356,1 MILLION GOLD EDP INTENSE X 100 ml,1 MILLION GOLD EDP INTENSE,Rabanne
3349668666782,1 MILLION GOLD ELIXIR PARFUM INTENSE X 100 ml + DESODORANTE + TUBO X 10 ml,1 MILLION GOLD ELIXIR PARFUM INTENSE,Rabanne
3349668662388,1 MILLION NIGHT ELIXIR PARFUM X 100 ml,1 MILLION NIGHT ELIXIR PARFUM,Rabanne
8411061134337,212 FOR  MEN EDT X 100 ml + TUBO X 10 ml + DESODORANTE STICK,212 FOR  MEN EDT,Carolina Herrera
8411061083482,212 VIP ROSE ELIXIR EDP X 80 ml,212 VIP ROSE ELIXIR EDP,Carolina Herrera
8411061083789,BAD BOY COBALT ELIXIR EDP X 150 ml,BAD BOY COBALT ELIXIR EDP,Carolina Herrera
8411061934234,CAROLINA HERRERA WOMAN EDP X 100 ml,CAROLINA HERRERA WOMAN EDP,Carolina Herrera
8411061125298,CH SWING FOR MEN EDP X 100 ml,CH SWING FOR MEN EDP,Carolina Herrera
8411061125281,CH SWING MUJER EDP X 100 ml,CH SWING MUJER EDP,Carolina Herrera
3349668630417,FAME COUTURE EDP X 80 ml,FAME COUTURE EDP,Rabanne
3349668630141,FAME INTENSE RECARGA X 200 ml,FAME INTENSE RECARGA,Rabanne
3349668614684,FAME PARFUM RECARGA X 200 ml,FAME PARFUM RECARGA,Rabanne
3349668595945,FAME EDP RECARGA X 200 ml,FAME EDP RECARGA,Rabanne
8411061081600,HERRERA FOR MEN EDT X 100 ml,HERRERA FOR MEN EDT,Carolina Herrera
3349668664733,INVICTUS ELIXIR PARFUM X 100 ml,INVICTUS ELIXIR PARFUM,Rabanne
8435415102483,LA BELLE FLOWER EDITION EDP X 100 ml,LA BELLE FLOWER EDITION EDP,Jean Paul Gaultier
8435415091190,LA BELLE PARADISE GARDEN X 30 ml,LA BELLE PARADISE GARDEN,Jean Paul Gaultier
8435415115025,LA BELLE ROSEA EDP X 100 ml,LA BELLE ROSEA EDP,Jean Paul Gaultier
8435415102537,LE BEAU FLOWER EDITION EDP X 125 ml,LE BEAU FLOWER EDITION EDP,Jean Paul Gaultier
8435415017206,LE BEAU EDT X 125 ml,LE BEAU EDT,Jean Paul Gaultier
8435415114363,LE MALE IN BLUE EDP X 125 ml,LE MALE IN BLUE EDP,Jean Paul Gaultier
8435415032315,LE MALE LE PARFUM INTENSE EDP X 125 ml,LE MALE LE PARFUM INTENSE EDP,Jean Paul Gaultier
8435415116497,SCANDAL POUR HOMME INTENSE EDP X 100 ml + TUBO X 10 ml,SCANDAL POUR HOMME INTENSE EDP,Jean Paul Gaultier
3349668662937,OLYMPEA ELIXIR EDP INTENSE X 80 ml,OLYMPEA ELIXIR EDP INTENSE,Rabanne
3349668021345,PACO RABANNE POUR HOMME EDT X 100 ml,PACO RABANNE POUR HOMME EDT,Rabanne
3349668666874,INVICTUS VICTORY ABSOLU X 100 ml + DESODORANTE + TUBO X 10 ml,INVICTUS VICTORY ABSOLU,Rabanne
8435415059060,SCANDALL WOMAN EDP X 80 ml,SCANDALL WOMAN EDP,Jean Paul Gaultier
3349668576111,XS BLACK POUR HOMME EDT X 100 ml,XS BLACK POUR HOMME EDT,Rabanne
3349668555062,XS BLACK WOMAN EDP X 80 ml,XS BLACK WOMAN EDP,Rabanne
3349668545636,XS PURE WOMAN EDP X 80 ml,XS PURE WOMAN EDP,Rabanne
