Marybe SRL,,,,,,
Pellegrini 141,,,CTRL+R  Genera Revisar,,,
200726 1005,,,CTRL+N  Hoja Ofertas,,,
,,,CTRL+P  Copia Pedido,,,
,, ,,,,
Codigo,Descripcion,MARCA,Rubro,Proveedor,Publico,Oferta
3349666007921,1 MILLION EDT X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"232.700,00",
3349668566372,1 MILLION EDT X 200 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"444.900,00","311.430,00"
3349668627240,1 MILLION EDT X 200 ml + TUBO EDT X 10 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"444.900,00","311.430,00"
3349668612598,1 MILLION EDT X 50 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"198.000,00",
3349668600304,1 MILLION ELIXIR PARFUM INTENSE X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"280.000,00",
3349668600298,1 MILLION ELIXIR PARFUM INTENSE X 200 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"534.100,00",
3349668601073,1 MILLION ELIXIR PARFUM INTENSE X 50 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"235.000,00",
3349668630356,1 MILLION GOLD EDP INTENSE X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"512.200,00",
3349668666782,1 MILLION GOLD ELIXIR PARFUM INTENSE X 100 ml + DESODORANTE + TUBO X 10 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"293.000,00",
3349668662388,1 MILLION NIGHT ELIXIR PARFUM X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"256.000,00",
8411061894026,212 WOMAN EDT X 60 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"217.000,00",
8411061043868,212 FOR MEN EDT X 100 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"225.000,00",
8411061853115,212 FOR MEN EDT X 30 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"150.000,00",
8411061896259,212 FOR MEN EDT X 50 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"185.000,00",
8411061134337,212 FOR  MEN EDT X 100 ml + TUBO X 10 ml + DESODORANTE STICK,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"226.000,00",
8411061124994,212 FOR MEN PARFUM X 100 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"245.000,00",
8411061125007,212 FOR MEN PARFUM X 50 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"205.000,00",
8411061122501,212 VIP BLACK EDP X 100 ml + TUBO EDP X 10 ml + GEL DUCHA,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"232.000,00",
8411061105016,212 VIP BLACK ELIXIR X 100 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"265.000,00",
8411061120637,212 VIP BLACK EDP X 50 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"193.500,00","135.450,00"
8411061105009,212 VIP BLACK ELIXIR X 50 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"220.000,00",
8411061043844,212 VIP BLACK EDP X 100 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"230.000,00",
8411061134344,212 VIP BLACK EDP X 100 ml + TUBO EDP X 10 ml + GEL DUCHA,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"232.000,00",
8411061120620,212 VIP BLACK EDP X 200 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"440.100,00","264.060,00"
8411061782347,212 VIP FOR MEN EDT X 200 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"427.300,00","256.380,00"
8411061088166,212 VIP FOR MEN EDT X 100 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"225.000,00",
8411061120583,212 VIP ROSE EDP X 30 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"175.000,00",
8411061106518,212 VIP ROSE EDP X 50 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"225.000,00",
