ID,Variantes,Codigo EAN,Detalle,Deta,Stock,Ver stk,Precio,Oferta,Publica,Envio,Moneda,Verificación,Proveedor
2793,,7790416066525,CUTEX QUITAESMALTE FORTALECEDOR x 50,Precio sin impuestos nacionales      1.901,4,1,2300,,1,1,ARS,MjAyNi0wNC0wNiAxOTo0Njo0Nw==,NEW REVLON ARG (TOIL)
2795,,7790416066532,CUTEX QUITAESMALTE FORTALECEDOR x 100,Precio sin impuestos nacionales      2.479,2,1,3000,,1,1,ARS,MjAyNi0wNC0wNiAxOTo0Njo0Nw==,NEW REVLON ARG (TOIL)
3489,,7791001009811,BIFERDIL ACONDICIONADOR  VITAMINADO S/ENJUAGUE  X 200 ML,Precio sin impuestos nacionales      10.413,2,1,12600,,1,1,ARS,MjAyNi0wMy0yMyAyMTowMTo0OA==,BIFERDIL SRL
3699,,7796045409030,BIUTY CREMA DEPILATORIA ALMENDRA x 100,Precio sin impuestos nacionales      6.364,0,1,7700,,0,1,ARS,MjAyNi0wMy0xNiAyMTowNjowOA==,SISCOM SA
4361,,7792143202290,IYOSEI CERA CAPILAR ANTI FRIZZ X 50,Precio sin impuestos nacionales      4.545,3,1,5500,,1,1,ARS,MjAyNi0wMS0xNCAxNjoyNDoyOA==,XERCOM SA
4751,34,4751,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,0,1,3100,2480,1,1,ARS,MjAyNS0xMi0wNiAyMTo1NzoyNQ==,LABORATORIO CUENCA SA
13887|4751,34,7793008001614,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNC0xMi0wMiAwMjo0Mjo1NA==,LABORATORIO CUENCA SA
13889|4751,34,7793008005063,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNS0wNi0yMiAxOTo1Nzo1MQ==,LABORATORIO CUENCA SA
13891|4751,34,7793008001621,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNC0wNi0wNCAyMDozNjo1NQ==,LABORATORIO CUENCA SA
13893|4751,34,7793008001638,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNS0xMC0wNSAxOToxNjoyOA==,LABORATORIO CUENCA SA
13899|4751,34,7793008001645,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0xMC0yOCAxMjoyMjo1Mg==,LABORATORIO CUENCA SA
13901|4751,34,7793008001720,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNS0wMi0wNiAyMzozOTowNQ==,LABORATORIO CUENCA SA
13903|4751,34,7793008031703,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNC0wNS0wNSAxNzoyMzozOA==,LABORATORIO CUENCA SA
13905|4751,34,7793008001782,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0wMy0yOCAwODoxNjoyMQ==,LABORATORIO CUENCA SA
13907|4751,34,7793008001836,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNC0wNi0wNCAyMDozNjo1NQ==,LABORATORIO CUENCA SA
